age,annual_income,total_debt,dependents,savings,credit_score,credit_utilization,missed_payments,employment_length,loan_amount,loan_term_months,defaulted
21,25556,21985,0,5233,617,0.57,5,12,14365,24,1
26,41723,35307,4,18093,675,0.56,3,19,5868,12,1
51,33035,28861,0,7835,635,0.58,4,10,13489,12,1
55,24517,7810,2,5756,825,0.21,1,3,13205,60,0
29,26815,18755,0,9206,650,0.47,4,9,11253,24,1
47,17226,13339,0,6192,593,0.52,4,4,1832,12,1
31,19823,6618,1,3013,735,0.22,1,11,5692,24,0
22,31104,27884,4,11326,562,0.6,4,2,5462,24,1
46,32483,23546,1,19012,706,0.48,2,8,10795,12,0
23,25866,9377,3,2541,754,0.24,1,3,11495,60,0
50,40935,50124,2,20475,576,0.82,4,3,17398,24,1
51,34614,15527,2,15569,684,0.3,3,18,11139,48,0
58,34491,13602,1,7683,711,0.26,1,22,17046,60,0
49,13911,5664,1,3415,762,0.27,2,5,5520,12,0
63,42058,28914,4,16891,699,0.46,2,22,8739,12,0
33,29284,9359,0,10455,763,0.21,3,11,3596,60,0
38,15333,11676,3,1278,609,0.51,3,0,9051,24,1
29,15983,15396,4,3505,687,0.64,5,14,6108,36,1
48,43004,12799,1,15576,767,0.2,2,13,7558,24,0
24,34156,26907,3,11617,688,0.53,5,17,10536,60,0
59,27464,18817,1,1852,706,0.46,4,17,3725,12,0
25,31964,15019,2,18325,754,0.31,4,12,17424,24,0
53,14028,9202,2,6938,660,0.44,3,19,7196,36,0
40,27922,10276,2,8916,757,0.25,3,11,8648,60,0
22,46531,25104,3,23627,738,0.36,3,12,25371,48,0
60,12133,10681,0,5788,578,0.59,5,20,7202,60,1
28,37709,48555,2,3785,476,0.86,6,21,7439,12,1
22,21498,22603,0,6270,578,0.7,5,18,11239,24,1
48,23370,16299,1,9357,669,0.46,4,14,5006,12,0
22,23585,23576,3,10211,586,0.67,3,21,4997,24,1
45,14210,10747,0,1363,719,0.5,5,20,3790,24,0
60,32092,41278,2,3887,459,0.86,5,15,19126,24,1
42,42538,39405,2,16919,621,0.62,4,21,19088,60,1
62,33148,22100,2,6073,713,0.44,2,19,13814,48,0
28,42670,9099,1,15049,718,0.14,3,15,23548,48,0
50,22313,11464,3,11708,669,0.34,5,10,3453,48,0
44,46436,32334,3,8065,713,0.46,3,4,6938,24,0
49,43149,51021,1,20029,567,0.79,7,16,24794,12,1
25,65168,24827,3,20678,723,0.25,2,7,35340,60,0
64,35263,17530,0,8488,791,0.33,3,11,6320,36,0
47,25866,31223,2,7155,477,0.8,5,16,9788,24,1
51,54671,44807,3,17228,626,0.55,3,8,27192,24,1
60,15791,3658,1,3248,850,0.15,0,10,5198,48,0
44,48634,11021,4,17801,813,0.15,0,0,27128,12,0
39,24556,13916,4,9050,661,0.38,2,3,3171,60,0
31,21192,24015,3,10234,495,0.76,4,19,5305,12,1
56,16428,1812,3,6612,822,0.07,0,17,7605,24,0
48,37349,43239,1,3043,494,0.77,5,15,9414,24,1
44,62966,74954,4,25390,505,0.79,5,7,11068,24,1
25,38539,9139,0,8960,731,0.16,0,16,13512,60,0
22,29875,9101,0,3641,804,0.2,1,7,14573,60,0
37,34008,19370,1,15032,709,0.38,2,6,9955,24,0
63,17973,1969,0,9911,788,0.07,2,12,8321,36,0
24,32601,4592,0,7773,833,0.09,1,3,14419,48,0
47,13363,17049,0,3684,492,0.85,6,18,4669,60,1
43,23175,28977,1,11210,528,0.83,5,4,10312,12,1
60,37183,14649,2,7621,776,0.26,3,13,7025,36,0
44,18056,13442,2,9281,635,0.5,2,18,5848,48,0
34,30656,10730,0,13759,765,0.23,2,19,9994,48,0
46,52271,28570,1,12561,700,0.36,3,22,14468,24,0
57,20506,8629,4,2449,666,0.28,3,10,2159,36,0
34,24955,20498,0,5387,645,0.55,4,0,14622,48,0
43,29245,8828,0,9843,759,0.2,4,2,13295,36,0
60,17986,13964,4,6304,743,0.52,5,23,8535,12,0
64,12460,6436,2,4951,755,0.34,3,7,7077,24,0
36,14846,14569,3,5040,637,0.65,5,12,2958,60,1
34,17996,16257,4,7234,601,0.6,3,1,8139,12,1
25,23368,29071,4,3286,447,0.83,5,9,7084,48,1
21,20005,22476,1,10533,493,0.75,4,22,10021,24,1
21,24087,10256,0,6165,699,0.28,2,19,6754,48,0
33,40393,5179,1,11393,840,0.09,0,8,21045,36,0
57,32871,25585,0,17558,715,0.52,5,15,6962,36,0
23,33299,34280,3,15808,516,0.69,7,16,13304,48,1
24,63576,32109,0,35339,732,0.34,4,19,12624,12,0
47,22530,9611,3,4361,782,0.28,2,19,4890,24,0
27,23319,25324,3,6294,516,0.72,5,24,4312,24,1
24,14182,11560,0,1437,655,0.54,3,10,7266,48,0
53,31267,10630,4,15368,728,0.23,1,11,14548,60,0
62,30398,29465,4,7856,579,0.65,5,10,17866,60,1
62,36757,25665,2,5839,651,0.47,3,15,7803,24,0
47,41525,23705,3,19219,678,0.38,3,13,23485,48,0
48,63666,66192,0,18922,613,0.69,5,9,10355,48,1
52,33105,14731,2,18990,737,0.3,2,17,16023,60,0
31,15474,16577,3,1175,627,0.71,5,4,6653,60,1
36,34916,35191,4,7889,568,0.67,5,3,14041,36,1
27,21389,12022,2,2525,683,0.37,3,21,10764,48,0
62,25193,12559,0,3293,739,0.33,3,21,3110,60,0
42,18174,9205,4,10547,726,0.34,3,8,6131,12,0
27,34313,17177,4,12589,664,0.33,3,7,3983,60,0
25,24130,19934,3,4296,611,0.55,5,17,8989,60,1
24,23279,4602,1,13598,825,0.13,1,14,2652,12,0
27,29541,23424,4,4172,674,0.53,3,0,4140,60,0
33,18999,8002,2,9299,798,0.28,1,2,10174,12,0
38,30379,7233,2,5655,839,0.16,0,12,16626,48,0
33,28970,34323,4,6241,647,0.79,4,1,13477,48,1
60,39571,10281,3,10962,840,0.17,4,16,4250,24,0
43,28392,32289,2,12690,530,0.76,5,20,15191,60,1
43,33107,41719,4,10354,482,0.84,5,14,8694,60,1
49,35793,14287,4,17481,743,0.27,2,5,21140,24,0
21,31241,31322,3,16525,601,0.67,4,17,4482,12,1
27,28385,5332,4,6088,788,0.13,0,16,12234,12,0
22,24158,29641,1,7851,561,0.82,7,1,3636,12,1
23,31663,3229,3,3349,820,0.07,0,13,14882,60,0
49,29085,7827,1,13338,754,0.18,1,9,14956,60,0
46,53537,33643,3,15882,688,0.42,3,3,25581,48,0
51,22578,3825,4,3317,819,0.11,1,7,3698,60,0
62,28739,32760,0,4482,558,0.76,4,7,6402,48,1
41,25614,27581,1,5698,556,0.72,4,14,13409,60,1
56,67945,84930,1,40412,506,0.83,6,4,27425,12,1
35,18745,2997,1,7142,748,0.11,2,7,3687,24,0
56,26096,29191,0,14780,484,0.75,5,16,3326,48,1
52,14329,17608,3,7959,536,0.82,4,4,4892,24,1
50,22988,6818,1,12266,759,0.2,3,1,12217,36,0
49,26147,14333,0,10784,689,0.37,2,17,10254,24,0
59,38364,23539,4,9311,739,0.41,4,12,4094,12,0
39,26883,18472,4,12157,645,0.46,3,4,9537,60,1
27,24072,10840,4,12419,732,0.3,2,19,5885,48,0
42,32334,16042,3,3713,758,0.33,2,9,6095,48,0
29,34602,9783,1,16262,750,0.19,2,3,20044,36,0
23,29989,16327,4,12111,714,0.36,3,17,15220,60,0
37,19543,9080,2,4845,687,0.31,1,21,3452,36,0
42,56005,24058,4,33015,747,0.29,1,15,13298,12,0
43,24067,28248,1,8841,540,0.78,4,14,4191,24,1
26,36056,9255,3,11635,761,0.17,1,16,19298,60,0
58,25668,15211,4,9361,690,0.4,4,10,13645,24,0
48,18233,7113,3,6599,757,0.26,1,7,3076,12,0
48,59384,74736,3,9647,477,0.84,6,23,20602,60,1
47,14436,18500,3,5741,537,0.85,7,4,3588,12,1
43,32801,21868,4,8402,644,0.44,3,17,13072,12,1
64,25698,25025,4,3498,599,0.65,3,7,9293,36,1
35,17428,21662,2,3925,501,0.83,5,5,9661,48,1
57,39748,11109,4,13507,824,0.19,2,21,17542,48,0
35,13330,14466,0,3368,617,0.72,4,18,3439,60,1
38,13406,13923,3,6480,539,0.69,5,4,1874,24,1
21,10497,1708,0,4508,784,0.11,0,13,4419,12,0
38,16213,15663,1,6790,531,0.64,4,24,8526,60,1
57,22621,22394,0,6766,499,0.66,5,22,9073,60,1
21,35763,11282,0,13337,739,0.21,1,11,8055,12,0
30,20227,18312,2,5059,585,0.6,4,6,7466,36,1
41,44525,47111,0,23121,552,0.71,5,23,14845,12,1
33,23492,3639,3,13893,784,0.1,2,19,7824,36,0
29,30046,10301,3,15212,801,0.23,5,10,6581,36,0
37,8967,5666,1,5185,728,0.42,2,1,5006,24,0
46,29946,10031,1,6099,728,0.22,2,14,12378,48,0
32,29413,10252,0,10871,780,0.23,1,18,8016,48,0
53,24362,23848,0,9888,597,0.65,3,20,12630,24,1
48,10991,7410,0,6585,663,0.45,5,4,2719,48,0
26,18751,4469,0,2389,775,0.16,1,15,4944,24,0
51,31793,10001,2,2434,692,0.21,3,19,17042,60,0
50,32413,12544,2,10019,753,0.26,3,21,7232,60,0
33,23241,12005,4,7325,666,0.34,3,11,8241,24,0
22,27457,3369,1,16000,850,0.08,2,14,5361,60,0
58,19731,19117,3,4132,583,0.65,7,24,2517,12,1
54,49725,61404,1,9427,499,0.82,8,6,18208,24,1
36,12696,2002,3,7454,807,0.11,1,6,2862,12,0
24,42769,7528,1,7890,777,0.12,0,12,24233,36,0
62,51891,24813,2,28713,694,0.32,2,19,23945,12,0
36,13869,7328,4,7037,706,0.35,2,18,2880,60,0
34,33743,36082,0,16653,629,0.71,5,5,14207,48,1
39,50800,36978,2,27231,717,0.49,4,18,14831,36,0
57,49421,31708,1,15118,674,0.43,2,10,16515,12,0
45,19237,3466,0,4990,718,0.12,1,3,11101,36,0
28,30840,26558,3,11430,603,0.57,3,10,3686,60,1
29,38337,12738,4,16160,784,0.22,1,7,8731,60,0
58,35878,33098,4,13409,622,0.62,3,16,17303,36,1
26,20709,12814,3,1239,621,0.41,2,19,6294,36,0
40,52473,36772,3,22370,623,0.47,2,10,18854,60,0
36,27734,25609,0,14374,562,0.62,5,6,8960,12,1
57,32628,28913,0,18584,658,0.59,5,5,9573,12,1
48,32945,24918,4,8438,605,0.5,3,11,7674,12,1
60,18556,8806,1,8515,734,0.32,1,4,10096,48,0
40,25232,11051,0,9364,710,0.29,3,7,3973,60,0
56,33064,18617,0,8060,618,0.38,3,1,16620,48,0
55,22682,21486,2,4243,631,0.63,5,4,12520,24,1
45,75218,24518,3,25407,747,0.22,3,12,27702,48,0
40,24977,12483,4,11194,657,0.33,3,9,2522,60,0
24,21383,25170,2,8537,510,0.78,6,5,4270,60,1
50,40344,28964,0,10300,660,0.48,3,24,11265,60,0
32,16235,13239,1,3653,616,0.54,4,11,4156,12,1
41,13899,9321,3,6453,695,0.45,2,13,7111,36,0
42,17857,10399,1,9014,768,0.39,4,3,5027,12,0
26,43818,54625,4,6015,559,0.83,6,24,21693,36,1
56,32712,29505,3,14690,603,0.6,3,9,10984,48,1
30,28955,6692,3,4460,825,0.15,1,14,15866,60,0
36,12287,3197,3,1368,796,0.17,1,5,4102,12,0
50,45334,26524,0,16401,737,0.39,4,5,26609,36,0
48,49246,52531,0,23101,558,0.71,4,2,6789,24,1
61,29130,31635,3,9960,571,0.72,7,6,6937,36,1
39,50639,58672,4,27533,514,0.77,4,21,11556,60,1
31,26495,12424,4,13476,768,0.31,3,5,2909,60,0
51,18428,15512,2,7115,698,0.56,3,15,8185,60,0
28,38159,22877,1,18853,775,0.4,2,18,17013,12,0
59,56551,26047,0,9222,719,0.31,1,22,7010,48,0
43,37202,24504,1,19574,754,0.44,2,16,16580,24,0
48,14570,12362,3,2883,639,0.57,6,11,6075,12,1
59,10579,8853,1,3213,594,0.56,5,7,1691,12,1
59,24846,4063,2,6205,788,0.11,0,23,4839,24,0
53,11220,10085,0,6096,618,0.6,3,7,4646,60,1
27,33289,4697,3,5821,767,0.09,0,12,12216,60,0
38,46931,59571,1,3145,479,0.85,8,22,25907,24,1
23,24320,29281,3,4504,553,0.8,5,12,4431,12,1
56,55109,53946,3,13038,611,0.65,3,19,25454,12,1
58,24659,5953,4,9309,801,0.16,2,2,3738,48,0
22,32540,38911,3,11582,550,0.8,6,5,5865,12,1
54,13478,3216,4,3943,827,0.16,2,3,3364,24,0
29,19591,6475,1,6541,789,0.22,2,8,4832,36,0
61,23293,10341,3,11320,714,0.3,2,20,2843,48,0
61,48347,55259,1,3163,489,0.76,6,11,11709,60,1
21,23832,4140,3,4992,790,0.12,1,24,8910,12,0
62,33453,14370,4,13498,709,0.29,2,0,17948,12,0
42,19768,3563,4,7952,810,0.12,1,15,2452,36,0
52,13217,8723,2,7614,651,0.44,2,11,5354,12,0
42,32755,36420,4,8098,498,0.74,5,14,18910,12,1
49,35392,9820,3,7580,831,0.18,1,8,9851,48,0
57,16117,19408,1,4879,491,0.8,4,0,4159,24,1
44,26148,13949,0,6573,741,0.36,3,15,10962,48,0
45,25420,27416,3,9541,498,0.72,4,21,7034,48,1
54,21536,5522,0,6913,795,0.17,2,19,12173,24,0
44,25791,30723,4,12972,568,0.79,5,5,10861,48,1
35,38269,24357,3,12203,635,0.42,2,12,8311,60,0
23,8963,4219,0,5307,719,0.31,1,21,1419,60,0
41,28697,3601,0,7056,842,0.08,0,17,11042,48,0
64,15069,14455,0,7733,649,0.64,4,8,2360,12,1
63,15488,10451,0,8556,715,0.45,2,16,7812,24,0
28,28496,32464,0,1832,511,0.76,6,8,13327,24,1
48,13056,9613,4,1596,652,0.49,3,1,2194,36,1
23,30182,21242,0,6797,642,0.47,3,4,9023,60,0
64,14979,11638,2,1040,632,0.52,3,18,5464,12,0
38,56125,19421,4,12258,734,0.23,2,16,30872,60,0
22,18700,8982,3,3044,703,0.32,1,18,5511,12,0
62,52945,47841,0,30639,593,0.6,3,1,12097,48,1
43,68549,60485,1,25909,611,0.59,6,20,29022,12,1
60,21925,18176,0,8496,685,0.55,4,1,2293,60,1
62,21527,6630,0,5067,850,0.21,2,1,7121,12,0
28,20565,23523,2,7238,564,0.76,5,12,2862,36,1
32,23662,25746,0,6636,548,0.73,5,17,4286,24,1
58,28676,35271,4,15884,539,0.82,4,6,9698,48,1
54,24823,7193,3,1981,769,0.19,2,20,3669,24,0
29,20065,15098,0,9388,624,0.5,3,4,6712,60,0
54,27910,34769,0,3625,552,0.83,8,23,10017,24,1
29,20982,13780,1,7608,677,0.44,3,8,6434,48,0
39,46038,51196,2,7937,558,0.74,4,15,6063,24,1
30,20645,14346,1,3780,636,0.46,3,19,4126,48,1
32,21148,12270,4,1445,708,0.39,4,9,9920,48,0
32,95694,98386,1,47787,552,0.69,4,18,27182,24,1
56,33673,8424,4,8117,812,0.17,1,18,6598,60,0
44,22192,2728,1,6679,787,0.08,0,1,11558,24,0
24,15012,1508,0,5033,850,0.07,1,16,1535,24,0
64,25143,7958,3,13055,832,0.21,1,13,6020,12,0
40,59246,12604,0,8651,803,0.14,2,17,29109,12,0
21,12526,12792,3,6722,527,0.68,6,24,3691,24,1
62,26688,22914,4,7212,626,0.57,3,9,8428,36,1
39,18647,15301,0,9606,579,0.55,4,2,5407,24,1
35,24546,27283,0,7059,580,0.74,4,18,2603,24,1
25,43490,35797,3,14990,683,0.55,3,14,18676,48,0
41,17084,2956,1,9022,847,0.12,1,1,5034,48,0
44,14442,10171,3,4506,646,0.47,2,1,6871,48,0
29,13129,9248,3,2110,626,0.47,2,15,2183,48,0
52,20132,20306,2,4224,568,0.67,5,5,6240,48,1
22,25421,12480,2,7645,713,0.33,2,16,10525,60,0
31,36846,45222,2,18606,573,0.82,5,3,18372,60,1
30,34475,33975,4,10797,635,0.66,4,9,20408,36,1
57,20695,5372,1,3734,753,0.17,3,11,6998,36,0
32,19397,3929,0,5282,837,0.14,0,15,4891,48,0
51,32171,16446,4,6648,677,0.34,2,22,18358,24,0
37,61707,6332,3,35189,803,0.07,1,21,30254,12,0
27,21836,13054,0,3397,714,0.4,2,21,10784,48,0
22,22066,9740,3,1686,759,0.29,1,5,3823,24,0
60,16627,2277,4,7211,790,0.09,0,10,3930,12,0
26,40513,36903,2,23407,666,0.61,3,10,6624,48,1
41,33863,43908,4,17900,496,0.86,7,8,12602,60,1
45,29198,37316,1,6712,581,0.85,5,11,3437,60,1
27,23158,24941,2,9735,594,0.72,6,3,11011,60,1
36,21606,24822,3,2733,477,0.77,8,22,4268,24,1
21,35199,17089,0,10421,794,0.32,3,19,18067,12,0
30,16155,15154,1,4548,593,0.63,4,14,6083,60,1
37,19048,14749,0,5010,618,0.52,3,8,1908,24,0
37,15733,15410,3,3160,636,0.65,3,17,2679,36,1
49,24377,26520,4,1734,506,0.73,5,3,7259,24,1
59,11920,4923,2,4920,644,0.28,3,22,4216,60,0
44,42008,33384,4,9041,617,0.53,3,20,13428,24,1
46,18558,10627,2,7743,755,0.38,3,3,10963,48,0
36,23292,8882,0,10000,753,0.25,2,1,8799,36,0
46,33860,32303,0,3204,529,0.64,3,8,7981,48,1
51,38442,42941,4,19059,557,0.74,5,21,7830,48,1
26,36086,44886,2,18398,489,0.83,4,5,15776,48,1
37,47669,43019,2,19371,618,0.6,5,5,11029,12,1
35,28321,24483,2,11727,632,0.58,4,19,11888,60,0
33,28596,10041,0,8565,708,0.23,1,22,9153,12,0
46,23556,5343,0,4391,764,0.15,2,22,4420,36,0
37,35462,25390,1,8952,641,0.48,2,18,11233,36,0
64,34496,35971,1,2233,641,0.7,6,18,18636,12,1
53,22038,20798,3,11868,635,0.63,4,19,9923,48,1
46,27796,31860,3,8965,518,0.76,5,24,14924,60,1
54,30405,33342,0,16593,623,0.73,4,11,7871,12,1
37,14523,10128,1,4451,597,0.46,3,7,7400,36,0
39,19899,17635,2,5506,670,0.59,4,19,5209,24,1
64,30397,39112,4,11894,447,0.86,6,18,14608,60,1
54,24818,19260,3,7825,612,0.52,5,8,14567,12,1
56,25175,12089,2,8284,787,0.32,3,14,10311,12,0
64,19923,8009,0,3054,828,0.27,3,24,10489,12,0
57,31145,4480,2,18162,791,0.1,3,1,10063,60,0
36,48446,21850,4,27013,729,0.3,1,3,10331,36,0
42,28351,30818,0,4165,527,0.72,6,3,8174,12,1
42,44883,18661,2,6147,666,0.28,1,14,5685,60,0
37,26349,21601,1,3724,592,0.55,4,22,10272,36,1
56,29289,15848,3,10091,732,0.36,2,21,12673,24,0
41,44468,21091,3,8151,689,0.32,1,18,24834,24,0
56,24351,21032,1,8888,640,0.58,3,23,5236,24,1
31,15852,15959,1,8908,613,0.67,7,6,7598,48,1
30,19809,9113,1,8300,703,0.31,4,6,8208,12,0
63,41714,42207,4,2985,651,0.67,4,7,10795,36,1
59,42599,43560,0,22401,631,0.68,5,13,4661,24,1
60,39979,27769,2,8930,722,0.46,2,21,23876,24,0
53,65908,76612,0,4797,497,0.77,5,24,7096,48,1
33,19364,4511,0,4075,804,0.16,2,10,7286,36,0
30,38351,5598,0,6889,838,0.1,0,12,9839,12,0
31,30947,13924,3,11891,727,0.3,1,0,7296,36,0
51,80455,30918,0,29290,778,0.26,1,18,28634,12,0
63,37616,6246,4,20965,850,0.11,2,7,14749,12,0
26,27127,4691,3,8200,773,0.12,0,16,8899,60,0
62,24110,29586,3,3270,483,0.82,4,22,10723,48,1
48,45958,47504,1,25800,579,0.69,5,3,5378,12,1
56,24805,4108,1,4386,771,0.11,2,0,10638,24,0
33,22690,11174,2,5924,711,0.33,2,15,2855,48,0
28,32214,10607,3,10422,712,0.22,4,11,3520,24,0
62,35549,12065,4,4093,732,0.23,2,21,15544,24,0
57,37660,43964,3,20728,576,0.78,4,3,14707,36,1
24,21586,19633,2,5464,640,0.61,5,19,10432,48,1
49,30187,19223,1,11025,685,0.42,3,5,8075,60,0
62,13890,5085,0,3943,766,0.24,1,17,1603,60,0
27,19539,24365,2,2754,547,0.83,5,6,11268,60,1
49,12878,15675,4,2279,446,0.81,5,10,5766,24,1
56,18830,3083,1,3697,783,0.11,2,2,10780,36,0
51,27588,34870,4,10882,538,0.84,6,0,7860,36,1
42,35159,17715,3,20800,701,0.34,2,13,7084,36,0
62,29383,25186,2,11535,662,0.57,4,5,3265,12,1
28,10869,1704,4,5709,796,0.1,1,23,4127,24,0
63,32626,7913,2,14080,751,0.16,4,8,19469,12,0
34,22392,18737,4,4050,669,0.56,6,22,8814,60,1
40,15798,7764,3,8111,701,0.33,2,2,5815,48,0
64,55541,54223,0,26098,593,0.65,3,8,22683,24,1
36,14370,14362,2,2059,593,0.67,3,8,4188,24,1
40,21625,26942,2,10192,517,0.83,4,1,10244,24,1
52,25162,22912,4,13102,587,0.61,3,11,7226,48,1
45,21522,3519,1,8450,825,0.11,1,2,5575,48,0
54,21129,5488,2,5523,794,0.17,2,24,3662,60,0
49,17593,5991,4,1676,726,0.23,3,10,5231,36,0
61,38273,16279,2,2335,744,0.28,2,4,8124,60,0
56,28919,4890,1,16275,831,0.11,0,7,6935,36,0
49,24341,28182,0,4683,558,0.77,4,10,4311,24,1
53,49577,39499,2,10065,598,0.53,3,9,19965,36,1
35,34026,5512,0,3963,810,0.11,0,24,15889,48,0
32,21566,22661,2,10964,584,0.7,6,10,11267,12,1
60,12505,7383,1,4101,688,0.39,2,6,4128,60,0
58,31686,39588,0,6986,515,0.83,5,7,13644,12,1
36,45424,24889,2,16569,772,0.37,4,5,5720,48,0
58,37182,44830,4,14125,526,0.8,4,12,15808,36,1
46,16470,12063,2,8551,664,0.49,4,15,6369,48,0
26,10112,1230,4,1070,796,0.08,1,18,2198,48,0
25,29533,4535,1,12565,813,0.1,0,16,8988,60,0
21,38793,49487,3,16897,482,0.85,6,10,5803,48,1
59,28661,9210,3,5248,759,0.21,2,9,15610,12,0
26,22801,22785,0,6819,626,0.67,3,19,8984,48,1
26,44256,9713,4,13976,850,0.15,0,12,23624,24,0
39,12952,7929,2,7549,711,0.41,2,10,5988,60,0
31,28365,22474,3,11163,679,0.53,4,2,15491,24,1
49,41999,19203,0,13755,741,0.3,1,6,5875,60,0
29,17243,2300,2,3282,818,0.09,0,21,2391,24,0
30,67855,23133,4,8519,743,0.23,3,13,23845,24,0
57,15606,17539,0,888,574,0.75,5,20,7664,12,1
45,27372,26492,3,3618,556,0.65,3,8,9478,24,1
45,39602,24629,4,23554,704,0.41,5,6,14584,60,0
47,10631,11827,4,4170,565,0.74,5,1,3993,60,1
28,16223,10073,1,7423,666,0.41,2,24,7911,12,0
33,26397,28138,4,10874,523,0.71,6,20,9814,60,1
32,10652,1110,2,1760,779,0.07,0,16,5492,36,0
60,17411,7763,3,5312,742,0.3,5,3,2905,48,0
47,66387,22500,3,36434,826,0.23,2,9,11386,12,0
26,54308,66316,3,3596,556,0.81,6,12,20177,60,1
59,12234,8510,4,7201,684,0.46,4,15,4251,24,1
28,56664,17869,1,8611,814,0.21,2,23,12932,60,0
28,39995,16336,3,11685,711,0.27,2,9,22347,24,0
51,11237,6416,0,1453,670,0.38,3,15,6027,12,0
61,8827,8076,3,1295,579,0.61,3,20,2481,36,1
60,20199,23111,1,5945,570,0.76,5,2,7534,36,1
32,15445,18629,1,6808,517,0.8,4,7,1737,60,1
55,18271,6902,0,3673,782,0.25,1,10,9576,36,0
62,46929,48149,4,25151,494,0.68,6,23,21378,60,1
64,60694,27198,1,9749,693,0.3,1,17,35505,60,0
40,18322,15162,2,2881,626,0.55,6,15,6183,36,1
35,11269,8137,0,4808,637,0.48,5,15,2544,12,0
64,26259,6409,3,13366,820,0.16,3,14,4015,60,0
37,21332,19292,3,3911,592,0.6,4,14,3056,48,1
62,27702,18814,4,12164,635,0.45,3,12,12644,60,1
53,22439,20590,1,12893,613,0.61,5,22,4396,60,1
56,20099,15669,0,7103,591,0.52,5,16,7207,12,1
32,32129,12627,2,2290,794,0.26,2,23,10758,60,0
36,16026,8551,0,3838,694,0.36,2,9,8615,24,0
42,47036,14725,1,2758,772,0.21,2,6,7809,24,0
50,16720,12205,4,6205,679,0.49,2,21,7693,48,0
38,25078,3808,2,5145,844,0.1,0,7,4503,60,0
32,11815,3190,3,6417,807,0.18,2,6,2640,48,0
46,29275,11897,0,11960,702,0.27,1,20,12260,36,0
44,54577,53121,3,14684,619,0.65,3,23,29948,60,1
37,56284,66646,4,21769,434,0.79,5,10,14160,60,1
49,48888,11046,4,27415,774,0.15,0,12,29088,48,0
62,16367,7173,1,3719,731,0.29,2,19,6909,36,0
53,22260,21011,3,2505,633,0.63,4,0,7322,24,1
25,24903,25375,2,12245,579,0.68,5,17,6905,36,1
55,32015,13849,4,17052,746,0.29,2,5,9814,60,0
38,63286,64741,2,34136,615,0.68,6,2,20752,12,1
45,24905,7145,3,1772,795,0.19,1,24,10488,24,0
24,10699,12050,3,2310,548,0.75,6,2,5534,36,1
33,25521,16592,1,12939,664,0.43,3,13,7886,60,0
54,12913,7536,3,884,683,0.39,4,7,3607,12,0
24,26605,9298,2,7806,820,0.23,2,6,15463,48,0
35,27449,7205,3,5032,767,0.18,2,14,4594,12,0
62,24547,11620,2,8276,704,0.32,1,16,11351,48,0
63,24204,17269,1,9903,697,0.48,2,9,6123,48,0
48,26279,13262,1,11029,698,0.34,3,15,10996,60,0
40,145136,180447,3,43822,453,0.83,5,3,32341,12,1
27,14894,8244,2,2506,676,0.37,2,15,3100,36,0
45,26966,6631,0,11415,841,0.16,0,5,6565,12,0
32,76058,36273,3,32418,729,0.32,3,11,21744,48,0
54,27895,4356,4,14174,850,0.1,1,13,9317,48,0
57,21897,8218,3,2749,778,0.25,2,3,4964,48,0
27,39387,34474,2,6484,579,0.58,3,9,19059,12,1
41,45827,14544,0,21052,781,0.21,3,1,26878,24,0
30,38451,44404,4,7480,569,0.77,7,4,8576,36,1
54,24573,13259,3,4626,696,0.36,2,24,6630,24,0
24,40963,33170,3,22574,597,0.54,4,20,24208,12,1
24,39899,9016,0,17201,783,0.15,1,21,4172,60,0
54,22020,5427,0,13154,829,0.16,4,12,3591,12,0
32,21370,20738,0,2636,584,0.65,3,15,9549,48,1
25,63357,73598,2,11148,540,0.77,4,14,10968,24,1
32,33020,18039,0,7997,741,0.36,2,3,16247,36,0
34,12723,8533,4,2549,653,0.45,4,22,3830,36,0
28,27350,16659,1,14991,666,0.41,2,10,11393,48,0
44,49160,28242,1,12116,680,0.38,2,3,11141,48,0
44,23633,14301,2,13889,688,0.4,4,0,9770,48,0
37,32874,42331,4,14597,491,0.86,6,5,12096,24,1
30,18708,10612,1,6956,674,0.38,2,3,6180,12,0
37,30302,22187,1,7765,646,0.49,4,24,17323,60,0
34,36065,7660,0,19059,769,0.14,2,17,11012,12,0
33,44006,32425,2,2534,583,0.49,3,22,11875,12,1
38,21465,3985,0,11816,797,0.12,1,8,12344,60,0
64,23040,12654,1,4134,752,0.37,2,13,12616,60,0
26,22855,26430,3,4918,491,0.77,5,4,10858,24,1
63,28474,3203,3,5740,821,0.08,0,14,11530,12,0
46,28692,22298,2,6842,683,0.52,4,20,10780,36,1
49,16876,3853,2,9792,761,0.15,0,16,4491,12,0
40,39643,20249,3,4496,710,0.34,4,17,20653,12,0
33,22193,17423,4,10384,673,0.52,4,2,11272,48,1
62,12597,10896,4,3852,575,0.58,6,3,3275,60,1
37,29786,16916,2,3774,667,0.38,3,21,11370,60,0
56,18551,8524,0,3840,750,0.31,3,22,7254,48,0
49,24038,5480,4,4833,795,0.15,1,7,11226,12,0
49,25010,30915,1,4572,464,0.82,6,20,12965,48,1
30,36736,39104,4,20194,598,0.71,5,7,11478,36,1
35,23551,22348,3,2213,622,0.63,4,4,2985,60,1
36,33652,5272,3,2570,850,0.1,2,5,16552,24,0
37,22065,21630,1,10702,599,0.65,5,2,3428,24,1
48,19430,5455,0,2220,777,0.19,2,2,11452,12,0
